resolution,viewport,frequency
1093,1093,1104
1093,1096,1
1140,477,1
1140,490,1
1140,557,1
1140,681,1
1140,685,1
1140,699,1
1140,1064,1
1140,1084,1
1140,1089,1
1140,1102,1
1140,1105,3
1140,1112,2
1140,1113,1
1140,1116,1
1140,1117,1
1140,1119,1
1140,1121,1
1140,1122,1
1140,1123,27
1140,1125,5
1140,1127,3
1140,1140,286
1140,1585,3
1152,296,1
1152,524,2
1152,580,3
1152,610,1
1152,611,1
1152,617,1
1152,627,1
1152,637,1
1152,669,1
1152,685,1
1152,687,1
1152,695,1
1152,701,1
1152,714,1
1152,717,1
1152,750,1
1152,753,1
1152,763,1
1152,768,1
1152,769,2
1152,770,1
1152,771,11
1152,772,1
1152,784,1
1152,898,2
1152,925,2
1152,949,2
1152,986,2
1152,992,6
1152,1001,2
1152,1003,1
1152,1004,2
1152,1009,1
1152,1010,1
1152,1014,2
1152,1016,1
1152,1017,1
1152,1023,1
1152,1024,3
1152,1026,1
1152,1032,2
1152,1035,1
1152,1038,1
1152,1039,2
1152,1040,13
1152,1046,1
1152,1047,4
1152,1048,1
1152,1051,3
1152,1054,2
1152,1057,5
1152,1062,1
1152,1063,1
1152,1066,2
1152,1067,1
1152,1073,1
1152,1075,6
1152,1079,2
1152,1080,1
1152,1084,2
1152,1085,2
1152,1087,3
1152,1088,2
1152,1091,1
1152,1092,1
1152,1093,6
1152,1095,1
1152,1098,1
1152,1099,2
1152,1106,1
1152,1107,1
1152,1108,1
1152,1109,1
1152,1110,2
1152,1112,5
1152,1113,1
1152,1115,3
1152,1116,4
1152,1117,4
1152,1118,3
1152,1119,5
1152,1120,3
1152,1121,3
1152,1122,2
1152,1123,21
1152,1124,8
1152,1125,2
1152,1126,2
1152,1127,10
1152,1128,2
1152,1129,26
1152,1130,3
1152,1131,504
1152,1132,116
1152,1133,5
1152,1134,9
1152,1135,74
1152,1136,14
1152,1138,11
1152,1139,2
1152,1141,5
1152,1142,6
1152,1143,2
1152,1144,29
1152,1145,1
1152,1146,1
1152,1147,1
1152,1148,2
1152,1149,2
