resolution,viewport,frequency
1280,1121,1
1280,1123,1
1280,1124,1
1280,1126,2
1280,1129,2
1280,1131,1
1280,1132,2
1280,1133,1
1280,1134,2
1280,1138,1
1280,1139,1
1280,1141,1
1280,1144,1
1280,1147,1
1280,1148,1
1280,1152,2
1280,1153,2
1280,1154,1
1280,1155,2
1280,1157,3
1280,1161,2
1280,1162,1
1280,1163,9
1280,1165,1
1280,1166,2
1280,1167,1
1280,1168,2
1280,1169,1
1280,1170,1
1280,1171,4
1280,1172,1
1280,1173,1
1280,1175,1
1280,1176,2
1280,1177,1
1280,1178,4
1280,1179,1
1280,1180,2
1280,1181,1
1280,1184,1
1280,1185,1
1280,1186,9
1280,1188,1
1280,1190,2
1280,1191,1
1280,1192,1
1280,1194,1
1280,1195,2
1280,1196,2
1280,1197,1
1280,1198,2
1280,1199,3
1280,1200,2
1280,1204,4
1280,1205,1
1280,1206,5
1280,1207,1
1280,1208,1
1280,1209,2
1280,1211,2
1280,1212,3
1280,1213,1
1280,1214,3
1280,1215,9
1280,1216,6
1280,1217,2
1280,1218,13
1280,1219,1
1280,1220,1
1280,1221,1
1280,1222,1
1280,1223,2
1280,1225,3
1280,1227,3
1280,1228,4
1280,1230,2
1280,1231,2
1280,1233,2
1280,1234,1
1280,1235,2
1280,1236,10
1280,1237,1
1280,1238,4
1280,1239,3
1280,1240,2
1280,1241,6
1280,1242,3
1280,1243,6
1280,1244,2
1280,1245,5
1280,1246,5
1280,1247,6
1280,1248,3
1280,1249,3
1280,1250,3
1280,1251,14
1280,1252,7
1280,1253,1
1280,1254,5
1280,1255,19
1280,1256,11
1280,1257,9
1280,1258,8
1280,1259,767
1280,1260,148
1280,1261,8
1280,1262,15
1280,1263,12
1280,1264,53
1280,1265,2
1280,1266,21
1280,1267,4
1280,1268,6
1280,1269,6
1280,1270,18
1280,1271,7
1280,1272,40
1280,1273,6
1280,1274,5
1280,1275,7
1280,1276,19
1280,1277,13
1280,1278,15
1280,1279,19
1280,1280,5014
1280,1281,1
1280,1282,3
1280,1284,2
1280,1286,3
1280,1290,2
1280,1302,2
1280,1303,2
1280,1357,1
1280,1366,1
1280,1393,1
1280,1406,1
1280,1422,4
1280,1680,1
1280,1900,1
1440,379,1
1440,472,1
1440,571,2
1440,645,1
1440,675,1
1440,701,1
1440,715,1
1440,720,1
1440,763,2
1440,770,1
1440,771,1
1440,772,2
1440,803,1
1440,805,1
1440,833,1
1440,852,1
1440,855,1
1440,856,1
1440,863,2
1440,866,1
1440,871,2
1440,872,1
1440,875,1
1440,883,1
1440,884,3
1440,887,1
1440,890,1
1440,930,1
1440,939,1
1440,941,1
1440,954,1
1440,955,1
1440,958,1
1440,970,1
1440,978,1
1440,982,2
