resolution,viewport,frequency
1440,1041,2
1440,1045,1
1440,1049,2
1440,1052,1
1440,1055,1
1440,1057,1
1440,1059,3
1440,1060,1
1440,1063,1
1440,1065,1
1440,1070,3
1440,1072,2
1440,1077,3
1440,1082,1
1440,1085,1
1440,1087,2
1440,1093,1
1440,1096,3
1440,1099,3
1440,1105,2
1440,1106,1
1440,1117,1
1440,1119,1
1440,1124,2
1440,1134,1
1440,1135,2
1440,1136,1
1440,1140,4
1440,1142,1
1440,1144,1
1440,1145,2
1440,1148,2
1440,1149,1
1440,1150,2
1440,1151,2
1440,1152,1
1440,1153,2
1440,1163,1
1440,1165,1
1440,1166,1
1440,1167,1
1440,1170,1
1440,1171,1
1440,1174,2
1440,1177,1
1440,1179,1
1440,1181,1
1440,1183,2
1440,1184,1
1440,1186,1
1440,1188,1
1440,1189,1
1440,1192,1
1440,1195,2
1440,1198,1
1440,1200,2
1440,1201,1
1440,1202,2
1440,1203,1
1440,1204,1
1440,1207,1
1440,1211,1
1440,1216,3
1440,1217,1
1440,1220,1
1440,1223,1
1440,1224,6
1440,1226,1
1440,1229,1
1440,1235,1
1440,1236,1
1440,1237,1
1440,1238,1
1440,1239,1
1440,1243,1
1440,1246,2
1440,1248,1
1440,1252,4
1440,1255,1
1440,1256,2
1440,1263,1
1440,1264,2
1440,1265,5
1440,1267,1
1440,1269,1
1440,1271,1
1440,1275,1
1440,1276,4
1440,1277,4
1440,1279,1
1440,1280,3
1440,1281,1
1440,1282,2
1440,1284,5
1440,1285,2
1440,1286,1
1440,1287,1
1440,1290,3
1440,1294,1
1440,1296,1
1440,1298,1
1440,1301,2
1440,1304,1
1440,1305,1
1440,1306,2
1440,1309,1
1440,1311,2
1440,1312,2
1440,1313,3
1440,1319,1
1440,1321,2
1440,1322,2
1440,1324,1
1440,1330,2
1440,1333,1
1440,1338,1
1440,1339,2
1440,1341,2
1440,1344,1
1440,1345,1
1440,1349,1
1440,1350,2
1440,1351,3
1440,1354,1
1440,1355,2
1440,1357,1
1440,1358,2
1440,1359,3
1440,1361,2
1440,1362,1
1440,1363,1
1440,1366,2
1440,1368,4
1440,1369,1
1440,1372,2
1440,1375,5
1440,1378,2
1440,1383,2
1440,1384,2
1440,1385,1
1440,1386,1
1440,1387,2
1440,1388,1
1440,1389,2
1440,1390,1
1440,1393,11
1440,1394,4
1440,1398,3
1440,1399,5
1440,1400,1
1440,1401,1
1440,1402,4
1440,1403,3
1440,1404,1
1440,1405,1
1440,1407,8
1440,1408,3
1440,1409,6
1440,1410,4
1440,1411,7
1440,1412,2
1440,1413,2
1440,1414,9
1440,1415,12
1440,1416,3
1440,1417,13
1440,1418,4
1440,1419,238
1440,1420,32
1440,1421,6
1440,1422,10
1440,1423,9
1440,1424,29
1440,1425,1
1440,1426,8
1440,1427,2
1440,1430,4
1440,1431,2
1440,1432,17
1440,1433,2
1440,1434,2
1440,1435,6
1440,1436,3
1440,1437,3
1440,1438,8
1440,1439,4
1440,1440,1211
1440,1441,2
1440,1445,1
1440,1464,1
1440,1472,1
1440,1516,2
1440,1600,1
1440,1676,1
1440,1899,1
1920,488,1
1920,642,2
1920,760,1
1920,777,1
1920,782,2
1920,784,1
1920,811,2
1920,900,1
1920,925,1
1920,927,1
1920,929,2
1920,934,1
1920,942,1
1920,944,4
1920,946,1
1920,979,1
1920,980,1
1920,981,1
1920,982,1
1920,992,1
1920,994,2
1920,995,1
1920,996,1
1920,999,1
1920,1000,2
1920,1001,1
1920,1002,1
