resolution,viewport,frequency
1920,1557,1
1920,1560,1
1920,1563,1
1920,1568,1
1920,1574,2
1920,1582,1
1920,1587,1
1920,1590,1
1920,1593,1
1920,1596,1
1920,1600,1
1920,1602,1
1920,1604,1
1920,1606,1
1920,1608,2
1920,1609,3
1920,1613,1
1920,1616,1
1920,1618,1
1920,1620,2
1920,1625,1
1920,1626,1
1920,1629,1
1920,1630,1
1920,1642,2
1920,1657,1
1920,1659,1
1920,1661,1
1920,1668,2
1920,1675,1
1920,1681,1
1920,1690,1
1920,1692,3
1920,1693,1
1920,1697,1
1920,1698,2
1920,1704,2
1920,1713,1
1920,1714,1
1920,1718,1
1920,1719,2
1920,1722,1
1920,1726,1
1920,1727,1
1920,1735,1
1920,1741,1
1920,1745,1
1920,1752,2
1920,1753,1
1920,1759,1
1920,1763,1
1920,1764,2
1920,1765,1
1920,1769,1
1920,1773,1
1920,1779,2
1920,1781,2
1920,1788,1
1920,1789,1
1920,1796,1
1920,1799,1
1920,1809,1
1920,1820,1
1920,1824,1
1920,1828,1
1920,1829,1
1920,1831,5
1920,1837,1
1920,1838,1
1920,1839,1
1920,1842,1
1920,1845,1
1920,1846,2
1920,1857,4
1920,1858,2
1920,1863,4
1920,1866,1
1920,1868,1
1920,1871,1
1920,1879,1
1920,1880,2
1920,1882,1
1920,1887,2
1920,1889,3
1920,1890,2
1920,1891,4
1920,1892,2
1920,1893,1
1920,1895,6
1920,1896,1
1920,1897,4
1920,1899,65
1920,1900,13
1920,1901,1
1920,1903,2
1920,1904,3
1920,1906,2
1920,1907,1
1920,1908,1
1920,1909,4
1920,1910,3
1920,1911,1
1920,1913,2
1920,1914,3
1920,1915,2
1920,1916,4
1920,1917,5
1920,1918,2
1920,1919,4
1920,1920,602
1920,1925,2
1920,2292,1
1440,233,1
1440,720,1
1440,772,1
1440,778,1
1440,784,1
1440,818,1
1440,842,1
1440,853,1
1440,864,1
1440,868,1
1440,871,2
1440,890,1
1440,924,1
1440,927,1
1440,940,2
1440,980,1
1440,995,1
1440,999,3
1440,1002,1
1440,1004,1
1440,1006,1
1440,1009,1
1440,1022,1
1440,1023,1
1440,1024,15
1440,1032,1
1440,1034,2
1440,1040,1
1440,1042,1
1440,1047,1
1440,1054,1
1440,1057,2
1440,1068,1
1440,1070,1
1440,1084,1
1440,1086,1
1440,1087,1
1440,1090,1
1440,1094,1
1440,1095,1
1440,1096,1
1440,1100,1
1440,1102,1
1440,1109,2
1440,1110,1
1440,1112,2
1440,1113,1
1440,1114,1
1440,1119,1
1440,1124,1
1440,1131,1
1440,1137,1
1440,1140,4
1440,1141,1
1440,1142,1
1440,1144,4
1440,1150,1
1440,1152,1
1440,1162,1
1440,1184,1
1440,1191,6
1440,1202,1
1440,1204,1
1440,1219,1
1440,1220,1
1440,1221,3
1440,1225,3
1440,1232,6
1440,1233,1
1440,1235,1
1440,1237,1
1440,1242,1
1440,1243,1
1440,1248,1
1440,1254,4
1440,1255,2
1440,1258,3
1440,1269,2
1440,1271,1
1440,1275,1
1440,1276,2
1440,1280,1
1440,1284,1
1440,1285,1
1440,1286,1
1440,1289,1
1440,1299,1
1440,1304,2
1440,1305,1
1440,1306,2
1440,1309,1
1440,1311,1
1440,1316,1
1440,1319,2
1440,1321,1
1440,1323,2
1440,1324,1
1440,1330,1
1440,1333,2
1440,1334,1
1440,1335,2
1440,1344,1
1440,1347,2
1440,1348,1
1440,1352,1
1440,1359,1
1440,1362,1
1440,1365,3
1440,1367,1
1440,1368,1
1440,1372,2
1440,1373,1
1440,1376,1
1440,1378,1
1440,1379,2
1440,1384,1
1440,1385,1
1440,1386,2
1440,1388,1
1440,1389,1
1440,1392,3
1440,1393,1
1440,1394,1
1440,1396,1
1440,1398,1
1440,1399,2
1440,1400,1
1440,1401,2
1440,1402,1
1440,1403,2
1440,1404,1
1440,1405,1
1440,1407,7
1440,1408,2
1440,1409,1
1440,1410,2
1440,1412,1
1440,1414,2
1440,1415,10
1440,1417,3
1440,1418,1
1440,1419,101
1440,1420,12
1440,1423,4
1440,1424,8
1440,1425,1
1440,1426,2
1440,1427,1
1440,1428,1
1440,1429,3
1440,1430,4
1440,1431,1
1440,1432,2
1440,1433,1
1440,1434,2
1440,1436,9
1440,1437,2
1440,1438,2
1440,1439,7
1440,1440,373
1440,1442,1
1440,1444,5
1440,1446,1
1440,1447,1
1440,1449,1
1440,1516,1
1440,1900,1
1680,762,1
1680,767,1
1680,771,1
1680,817,1
1680,841,1
1680,880,1
1680,884,1
1680,916,1
1680,969,1
1680,985,1
1680,991,1
1680,992,1
1680,993,1
1680,1003,1
1680,1008,2
1680,1013,2
1680,1014,1
1680,1015,1
1680,1024,4
1680,1034,1
1680,1044,1
1680,1047,1
1680,1050,1
1680,1051,1
1680,1059,1
1680,1061,1
1680,1070,1
1680,1086,1
1680,1091,1
1680,1094,1
1680,1095,1
1680,1123,1
1680,1127,1
1680,1136,1
1680,1150,1
1680,1153,1
1680,1155,1
1680,1156,2
1680,1160,1
1680,1163,1
1680,1164,1
1680,1167,1
1680,1177,2
1680,1184,1
1680,1189,1
1680,1201,1
1680,1203,1
1680,1204,2
1680,1205,1
1680,1219,1
1680,1224,1
1680,1227,1
1680,1228,1
1680,1234,1
1680,1239,1
1680,1240,1
1680,1256,1
1680,1258,1
1680,1259,1
1680,1265,2
1680,1266,1
1680,1271,2
1680,1272,1
1680,1275,1
1680,1277,1
1680,1278,4
1680,1279,3
1680,1284,1
1680,1288,1
1680,1297,1
1680,1300,1
1680,1302,1
1680,1313,1
1680,1317,1
1680,1323,2
1680,1324,1
1680,1335,1
1680,1341,1
1680,1346,1
1680,1350,2
1680,1356,2
1680,1366,1
1680,1368,1
1680,1370,1
1680,1376,1
1680,1380,2
1680,1382,1
1680,1383,1
1680,1384,1
1680,1385,1
1680,1386,1
1680,1387,1
1680,1392,1
1680,1399,1
1680,1404,1
1680,1405,1
1680,1420,2
1680,1426,1
1680,1451,1
1680,1453,1
1680,1459,1
1680,1461,1
1680,1466,2
1680,1468,4
1680,1476,2
1680,1480,1
1680,1481,1
1680,1483,1
1680,1487,1
1680,1490,1
1680,1495,1
1680,1504,1
1680,1511,1
1680,1515,1
1680,1530,1
1680,1536,1
1680,1539,1
1680,1546,1
1680,1556,1
1680,1560,1
1680,1570,1
1680,1571,1
1680,1573,1
1680,1575,1
1680,1583,2
1680,1592,1
1680,1595,1
1680,1596,2
1680,1599,2
1680,1600,1
1680,1611,1
1680,1615,1
1680,1617,1
1680,1618,1
1680,1623,1
1680,1625,1
1680,1627,1
1680,1631,1
1680,1636,1
1680,1639,2
1680,1641,1
1680,1643,2
1680,1648,2
1680,1651,3
1680,1652,2
1680,1654,2
1680,1655,6
1680,1656,3
1680,1657,2
1680,1659,67
1680,1660,14
1680,1661,1
1680,1662,6
1680,1664,2
1680,1665,1
1680,1666,3
1680,1667,1
1680,1669,3
1680,1671,2
1680,1672,1
1680,1673,3
1680,1675,3
1680,1676,15
1680,1677,2
1680,1678,4
1680,1680,291
1680,1681,1
1680,1683,1
1600,923,1
1600,946,1
1600,960,1
1600,981,1
1600,984,1
1600,996,1
1600,1040,3
1600,1041,1
1600,1058,1
1600,1111,1
1600,1115,1
1600,1125,1
1600,1128,1
1600,1140,1
1600,1142,1
1600,1157,1
1600,1179,1
1600,1204,1
1600,1224,5
1600,1276,1
1600,1285,1
1600,1300,1
1600,1309,1
1600,1317,1
1600,1361,2
1600,1363,1
1600,1384,1
1600,1391,1
1600,1393,1
1600,1413,1
1600,1421,1
1600,1424,1
1600,1431,2
1600,1443,1
1600,1492,1
1600,1496,1
1600,1497,1
1600,1501,1
1600,1523,1
1600,1526,2
1600,1535,3
1600,1538,3
1600,1545,2
1600,1548,1
1600,1552,1
1600,1569,1
1600,1572,5
1600,1575,2
1600,1576,1
1600,1577,2
1600,1579,31
1600,1580,4
1600,1581,1
1600,1582,2
1600,1583,1
1600,1584,1
1600,1586,2
1600,1592,1
1600,1596,2
1600,1599,1
1600,1600,328
1600,1606,1
1600,1920,2
1093,806,1
1093,808,1
1093,958,2
1093,974,1
1093,978,3
1093,996,2
1093,1011,1
1093,1014,1
1093,1022,1
1093,1025,1
1093,1034,1
1093,1043,1
1093,1047,1
1093,1058,1
1093,1061,1
1093,1062,1
1093,1065,1
1093,1073,4
1093,1076,17
1093,1077,1
1093,1078,1
1093,1079,2
1093,1080,6
1093,1081,1
1093,1093,156
1311,749,1
1311,783,2
1311,804,1
1311,907,1
1311,994,4
1311,1062,1
1311,1065,1
1311,1078,1
1311,1100,1
1311,1161,2
1311,1162,1
1311,1167,1
